Type,Location,Beds,Date,Price
Home,Malibu,5 ,2024-05-01,"1,294"
Farm stay,Martinez,4 ,2024-05-01,315
Farm stay,Joshua Tree,2 ,2024-05-01,173
Tiny home,Twentynine Palms,2 ,2024-05-01,108
Condo,Whitethorn,1 ,2024-05-01,315
Home,Joshua Tree,3 ,2024-05-01,227
Cabin,Lake Arrowhead,4 ,2024-05-01,239
Cabin,Mariposa,7 ,2024-05-01,353
Tiny home,Joshua Tree,2 ,2024-05-01,133
Home,Kelseyville,4 ,2024-05-01,207
Cabin,Shaver Lake,3 ,2024-05-01,218
Cabin,Big Bear Lake,3 ,2024-05-01,142
Cabin,Big Bear,1 ,2024-05-01,124
Cabin,Big Bear Lake,4 ,2024-05-01,179
Cabin,Big Bear,3 ,2024-05-01,169
Cabin,Alta,3 ,2024-05-01,212
Tiny home,Albion,2 ,2024-05-01,142
Home,Palm Springs,5 ,2024-05-01,343
Home,Malibu,5 ,2024-06-01,"1,628"
Farm stay,La Grange,1 ,2024-06-01,210
Condo,Whitethorn,2 ,2024-06-01,450
Condo,Whitethorn,2 ,2024-06-01,315
Condo,Whitethorn,1 ,2024-06-01,315
Home,Joshua Tree,1 ,2024-06-01,259
Farm stay,Angels Camp,1 ,2024-06-01,165
Guest suite,Tiburon,2 ,2024-06-01,675
Tiny home,Twentynine Palms,4 ,2024-06-01,112
Home,Yucca Valley,3 ,2024-06-01,450
Home,Joshua Tree,3 ,2024-06-01,198
Home,29 Palms,4 ,2024-06-01,230
Home,Sanger,1 ,2024-06-01,553
Tiny home,Topanga,4 ,2024-06-01,223
Cabin,Lake Arrowhead,1 ,2024-06-01,255
Yurt,Idyllwild-Pine Cove,3 ,2024-06-01,143
Tiny home,Joshua Tree,3 ,2024-06-01,116
Home,Malibu,5 ,2024-07-01,"1,783"
Farm stay,La Grange,3 ,2024-07-01,261
Home,Joshua Tree,1 ,2024-07-01,779
Home,Joshua Tree,8 ,2024-07-01,273
Home,Ione,1 ,2024-07-01,263
Farm stay,Angels Camp,1 ,2024-07-01,165
Guest suite,Tiburon,4 ,2024-07-01,781
Home,Yucca Valley,3 ,2024-07-01,466
Home,Joshua Tree,3 ,2024-07-01,228
Home,29 Palms,2 ,2024-07-01,312
Home,Pioneertown,1 ,2024-07-01,256
Tiny home,Topanga,4 ,2024-07-01,233
Home,Lake Arrowhead,2 ,2024-07-01,208
Cabin,Arrowbear Lake,2 ,2024-07-01,318
Home,Joshua Tree,2 ,2024-07-01,325
Tiny home,Ahwahnee,1 ,2024-07-01,363
Home,Joshua Tree,1 ,2024-07-01,150
Farm stay,La Grange,5 ,2024-09-01,190
Farm stay,Martinez,4 ,2024-09-01,333
Cabin,Camp Connell,4 ,2024-09-01,241
Home,Pioneertown,2 ,2024-09-01,539
Home,Yucca Valley,5 ,2024-09-01,386
Home,Joshua Tree,1 ,2024-09-01,247
Farm stay,Angels Camp,1 ,2024-09-01,165
Guest suite,Tiburon,1 ,2024-09-01,721
Home,Yucca Valley,4 ,2024-09-01,402
Home,Joshua Tree,3 ,2024-09-01,201
Cabin,Yucca Valley,1 ,2024-09-01,258
Home,Pioneertown,2 ,2024-09-01,243
Home,Pioneertown,4 ,2024-09-01,840
Apartment,Carmel Valley,2 ,2024-09-01,238
Tiny home,Topanga,1 ,2024-09-01,215
Cabin,Lake Arrowhead,4 ,2024-09-01,277
Guest suite,Malibu,1 ,2024-09-01,478
Home,Joshua Tree,2 ,2024-09-01,606
Camper/RV,Half Moon Bay,2 ,2024-10-01,378
Home,Malibu,5 ,2024-10-01,"1,783"
Home,Indio Hills,10,2024-10-01,899
